experiment_name,learning_rate,hidden_dim,scheduler,max_epochs_configured,epochs_ran,best_loss,checkpoint_path
exp_001_lr0.0001_hd4_linear,0.0001,4,linear,50,50,0.2000557476825098,grid_search_checkpoints/exp_001_lr0.0001_hd4_linear.ckpt
exp_002_lr0.0001_hd4_cosine,0.0001,4,cosine,50,50,0.3559052564358134,grid_search_checkpoints/exp_002_lr0.0001_hd4_cosine.ckpt
exp_003_lr0.0001_hd6_linear,0.0001,6,linear,50,33,0.187354530061445,grid_search_checkpoints/exp_003_lr0.0001_hd6_linear.ckpt
exp_004_lr0.0001_hd6_cosine,0.0001,6,cosine,50,50,0.33744630241736173,grid_search_checkpoints/exp_004_lr0.0001_hd6_cosine.ckpt
exp_005_lr0.0001_hd8_linear,0.0001,8,linear,50,44,0.18224176653884058,grid_search_checkpoints/exp_005_lr0.0001_hd8_linear.ckpt
exp_006_lr0.0001_hd8_cosine,0.0001,8,cosine,50,50,0.32984209077679716,grid_search_checkpoints/exp_006_lr0.0001_hd8_cosine.ckpt
exp_007_lr5e-05_hd4_linear,5e-05,4,linear,50,50,0.20872988182946825,grid_search_checkpoints/exp_007_lr5e-05_hd4_linear.ckpt
exp_008_lr5e-05_hd4_cosine,5e-05,4,cosine,50,50,0.36761138458935555,grid_search_checkpoints/exp_008_lr5e-05_hd4_cosine.ckpt
exp_009_lr5e-05_hd6_linear,5e-05,6,linear,50,49,0.19102179591557464,grid_search_checkpoints/exp_009_lr5e-05_hd6_linear.ckpt
exp_010_lr5e-05_hd6_cosine,5e-05,6,cosine,50,50,0.34355789794903074,grid_search_checkpoints/exp_010_lr5e-05_hd6_cosine.ckpt
exp_011_lr5e-05_hd8_linear,5e-05,8,linear,50,50,0.18522728900784652,grid_search_checkpoints/exp_011_lr5e-05_hd8_linear.ckpt
exp_012_lr5e-05_hd8_cosine,5e-05,8,cosine,50,50,0.3341754698712914,grid_search_checkpoints/exp_012_lr5e-05_hd8_cosine.ckpt
exp_013_lr0.001_hd4_linear,0.001,4,linear,50,38,0.19094336982157206,grid_search_checkpoints/exp_013_lr0.001_hd4_linear.ckpt
exp_014_lr0.001_hd4_cosine,0.001,4,cosine,50,33,0.3454572163227117,grid_search_checkpoints/exp_014_lr0.001_hd4_cosine.ckpt
exp_015_lr0.001_hd6_linear,0.001,6,linear,50,34,0.18407255629384636,grid_search_checkpoints/exp_015_lr0.001_hd6_linear.ckpt
exp_016_lr0.001_hd6_cosine,0.001,6,cosine,50,41,0.33239967233485834,grid_search_checkpoints/exp_016_lr0.001_hd6_cosine.ckpt
exp_017_lr0.001_hd8_linear,0.001,8,linear,50,20,0.18364566805989901,grid_search_checkpoints/exp_017_lr0.001_hd8_linear.ckpt
exp_018_lr0.001_hd8_cosine,0.001,8,cosine,50,20,0.33266841385061974,grid_search_checkpoints/exp_018_lr0.001_hd8_cosine.ckpt
